CÓDIGO-DO-TRECHO,TRECHO-INÍCIO,TRECHO-FINAL,EXTENSÃO(km),SITUAÇÃO-FÍSICA,TIPO-DE-REVESTIMENTO,TRECHO-COINCIDENTE-DISTRITAL,TRECHO-COINCIDENTE-FEDERAL-SUPERPOSTA,TMD,NOMENCLATURA-ANTERIOR,snv_rodovia,snv_jurisdicao,snv_uf,snv_sequencial,lat_inicio,lon_inicio,lat_fim,lon_fim,lat_meio,lon_meio,extensao_geom_km,tomtom_sucesso,tomtom_currentSpeed,tomtom_freeFlowSpeed,tomtom_currentTravelTime,tomtom_freeFlowTravelTime,tomtom_confidence,tomtom_roadClosure,tomtom_erro
260EDF0090,ENTR. VC-419,ENTR. VC-423,3.0,IMP,-,-,-,161,DF-10,DF-260,E,DF,90,-15.8589512325033,-47.4876057609999,-15.8581443795034,-47.4555006869999,-15.862257399358294,-47.47102673603412,3.763841116086833,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
260EDF0110,ENTR. VC-423,ENTR. DF-322(A),0.5,IMP,-,-,-,235,DF-10,DF-260,E,DF,110,-15.8581427995034,-47.4555012929999,-15.8581289945034,-47.4503767419999,-15.857686776753154,-47.45294547202748,0.5817140971560218,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
260EDF0130,ENTR. DF-322(A),ENTR. DF-322(B),2.0,IMP,-,322EDF0070,-,235,DF-10,DF-260,E,DF,130,-15.8581289945034,-47.4503767429999,-15.8622365655032,-47.4326728979999,-15.8601827800033,-47.4415248204999,2.0231419037933955,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
260EDF0150,ENTR. DF-322(B),ENTR. DF-100/DF-320,5.2,IMP,-,-,-,235,DF-10,DF-260,E,DF,150,-15.8622365655032,-47.4326728979999,-15.8567395105034,-47.3870832369999,-15.86149153118614,-47.40987328203576,5.183790728883475,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
270EDF0010,ENTR. DF-130,ENTR. DF-125(A),1.9,PAV,-,-,-,910,FZ-06,DF-270,E,DF,10,-15.940408007501,-47.6004995769999,-15.9373092735011,-47.5835001219999,-15.939001931886343,-47.59200304089923,1.9302351578799968,True,70.0,70.0,1313.0,1313.0,1.0,False,
270EDF0030,ENTR. DF-125(A),FIM DO TRECHO PAVIMENTADO (km. 3.4),1.5,PAV,-,125EDF0070,-,910,-,DF-270,E,DF,30,-15.9373092735011,-47.5835001219999,-15.9344912795012,-47.5693447169999,-15.935900327784337,-47.57642240927742,1.606701199413502,True,80.0,80.0,841.0,841.0,1.0,False,
270EDF0040,FIM DO TRECHO PAVIMENTADO (km. 3.4),0.1,6,IMP,-,125EDF0080,-,967,-,DF-270,E,DF,40,-15.9344912795012,-47.5693447169999,-15.9315750915013,-47.5547345029999,-15.93303318550125,-47.5620396099999,1.658490571744662,True,80.0,80.0,841.0,841.0,1.0,False,
270EDF0050,ENTR. DF-125(B),ENTR. DF-120(A),1.9,IMP,-,-,-,531,-,DF-270,E,DF,50,-15.9315750915013,-47.5547345029999,-15.9280859855014,-47.537276232,-15.92983053850135,-47.54600536749995,1.9818871041858663,True,80.0,80.0,841.0,841.0,1.0,False,
270EDF0090,ENTR. DF-120(B),ENTR. VC-407,5.3,IMP,-,-,-,410,-,DF-270,E,DF,90,-15.9246538375015,-47.5201029609999,-15.9149215645018,-47.4714060489999,-15.919787701001647,-47.4957545049999,5.528140861617365,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
270EDF0110,ENTR. VC-407,ENTR. DF-322,3.5,IMP,-,-,-,369,-,DF-270,E,DF,110,-15.9149215645018,-47.4714060489999,-15.9185790935017,-47.4350651619999,-15.913962884405288,-47.45315168464552,4.1558705910023015,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
270EDF0130,ENTR. DF-322,ENTR. DF-100,4.0,IMP,-,-,-,113,-,DF-270,E,DF,130,-15.9185790935017,-47.4350651619999,-15.9244190245015,-47.3970157729999,-15.923371948973331,-47.41628653054144,4.314901417389821,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
280EDF0010,DIVISA GO/DF,ENTR. DF-190(A),1.0,PAV,CA,-,-,14.195,DF-14,DF-280,E,DF,10,-15.942833367501,-48.2533802999999,-15.942445392501,-48.247354545,-15.942935243565833,-48.25035346157854,0.6835073094005835,True,66.0,66.0,1482.0,1482.0,1.0,False,
280EDF0012,ENTR. DF-190(A),ENTR. DF-190(B),1.0,PAV,CA,190EDF0050,-,9.980,DF-14,DF-280,E,DF,12,-15.942445392501,-48.247354545,-15.942466176501,-48.2397287399999,-15.942491493940537,-48.24354011553042,0.849306600671932,True,66.0,66.0,1482.0,1482.0,1.0,False,
280EDF0030,ENTR. DF-190(B),ENTR. BR-060,10.6,PAV,CA,-,-,9.624,DF-14,DF-280,E,DF,30,-15.942466176501,-48.2397287399999,-15.9236228225016,-48.1663108099999,-15.92481249439322,-48.20134736697081,9.490536555370996,True,66.0,66.0,1482.0,1482.0,1.0,False,
285EDF0010,ENTR. BR-251,ENTR. VC-441,2.5,PAV,TSD,-,-,792,DF-18,DF-285,E,DF,10,-16.0003919424994,-47.5556668839999,-16.0033466744993,-47.5332462539999,-16.001682694947924,-47.54446554923358,2.525187291650445,True,80.0,80.0,841.0,841.0,1.0,False,
285EDF0030,ENTR. VC-441,ENTR. DF-120,6.0,PAV,TSD,-,-,792,DF-18,DF-285,E,DF,30,-16.0033466754993,-47.5332462539999,-16.0115978544991,-47.4775720549999,-16.007475244367832,-47.5054095959761,6.265346773339068,True,80.0,80.0,841.0,841.0,1.0,False,
285EDF0050,ENTR. DF-120,ENTR. VC-447,1.8,PAV,-,-,-,248,DF-18,DF-285,E,DF,50,-16.0115978544991,-47.4775720549999,-16.014172901499,-47.4601779539999,-16.012885377999048,-47.4688750044999,1.957414669801572,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
285EDF0070,ENTR. VC-447,ENTR. DF-100,5.8,PAV,-,-,-,248,DF-18,DF-285,E,DF,70,-16.014172901499,-47.4601779539999,-16.0219802084988,-47.4074406389999,-16.0180765549989,-47.4338092964999,5.934701332426366,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
285EDF0090,ENTR. DF-100,ENTR. VC-461,2.9,PAV,-,-,-,248,DF-18,DF-285,E,DF,90,-16.0219802084988,-47.4074406389999,-16.0260391034987,-47.3800233509999,-16.02400965599875,-47.3937319949999,3.085356474280297,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
285EDF0110,ENTR. VC-461,DIVISA DF/MG,6.6,IMP,-,-,-,248,DF-18,DF-285,E,DF,110,-16.0260391034987,-47.3800233509999,-16.0377053354983,-47.3112370769999,-16.031452760116682,-47.34376476524311,8.162256857651801,False,,,,,,,"400: {""error"":""Point too far from nearest existing segment."",""httpStatusCode"":400,""detailedError"":{""code"":""INVALID_REQUEST"",""message"":""Point too far from nearest existing segment.""}}"
290EDF0010,ENTR. BR-060,ENTR. VC-381,11.8,PAV,CA,-,-,4.459,DF-20,DF-290,E,DF,10,-16.0382168444983,-48.2557304399999,-16.0090605684991,-48.1631666499999,-16.020830366715302,-48.21168382263517,11.798069724607412,True,87.0,87.0,475.0,475.0,1.0,False,
290EDF0030,ENTR. VC-381,ENTR. DF-180,4.9,PAV,CA,-,-,4.459,DF-20,DF-290,E,DF,30,-16.0090605684991,-48.1631666499999,-16.0083429774991,-48.1212317419999,-16.01438798159115,-48.141500993119536,5.338576037484862,True,61.0,61.0,1327.0,1327.0,1.0,False,
290EDF0050,ENTR. DF-180,ENTR. VC-379 / ACESSO AO GAMA,4.4,PAV,TSD,-,-,6.888,DF-20,DF-290,E,DF,50,-16.0083429774991,-48.1212317409999,-16.0265525774987,-48.0859683389999,-16.019111500520335,-48.104495247025135,4.510500513239694,True,61.0,61.0,1327.0,1327.0,1.0,False,
290EDF0070,ENTR. VC-379 / ACESSO AO GAMA,ENTR. VC-385,1.5,PAV,TSD,-,-,6.888,DF-20,DF-290,E,DF,70,-16.0265525774987,-48.0859683389999,-16.0336094664984,-48.074160768,-16.030189118380093,-48.08012373694788,1.5325623392509946,True,79.0,79.0,1020.0,1020.0,1.0,False,
290EDF0080,ENTR. VC-385,ACESSO AO GAMA,2.5,PAV,CA,-,-,13.666,DF-20,DF-290,E,DF,80,-16.0336094654984,-48.074160768,-16.0384882634983,-48.055073885,-16.03973575727532,-48.06427201463989,2.5898965258449933,True,54.0,54.0,953.0,953.0,1.0,False,
290EDF0090,ACESSO AO GAMA,ENTR. AV. ALAGADOS (SANTA MARIA),3.2,DUP,CA,-,-,37.065,DF-20,DF-290,E,DF,90,-16.0384882634983,-48.055073885,-16.049023177498,-48.0303767029999,-16.04250133732689,-48.04331048563304,3.472876878363702,True,54.0,54.0,953.0,953.0,1.0,False,
290EDF0110,ENTR. AV. ALAGADOS (SANTA MARIA),ENTR. VC-371,3.2,DUP,CA,-,-,33.083,DF-20,DF-290,E,DF,110,-16.049023178498,-48.0303767029999,-16.049051055498,-48.0048505389999,-16.04903739091773,-48.01761362132287,2.841574277572565,True,61.0,61.0,1327.0,1327.0,1.0,False,
290EDF0130,ENTR. VC-371,ENTR. BR-040/BR-050,2.5,DUP,CA,-,-,33.083,DF-20,DF-290,E,DF,130,-16.049051055498,-48.0048505389999,-16.049076897498,-47.9812683789999,-16.049063903577796,-47.99305945892256,2.6251676280231053,True,61.0,61.0,1327.0,1327.0,1.0,False,
295EDF0010,ENTR. DF-130,ENTR. DF-125,4.4,IMP,-,-,-,346,FZ-01,DF-295,E,DF,10,-16.049619532498,-47.6172637409999,-16.049619348498,-47.5729490269999,-16.049619440498,-47.59510638399991,4.933113962522769,True,87.0,87.0,398.0,398.0,1.0,False,
295EDF0030,ENTR. DF-125,ENTR. BR-251,3.8,IMP,-,-,-,236,FZ-01,DF-295,E,DF,30,-16.049619348498,-47.5729490269999,-16.049619201498,-47.5375762819999,-16.049619274497537,-47.55526265449876,3.937693973687872,True,84.0,84.0,806.0,806.0,1.0,False,
