CÓDIGO-DO-TRECHO,TRECHO-INÍCIO,TRECHO-FINAL,EXTENSÃO(km),SITUAÇÃO-FÍSICA,TIPO-DE-REVESTIMENTO,TRECHO-COINCIDENTE-DISTRITAL,TRECHO-COINCIDENTE-FEDERAL-SUPERPOSTA,TMD,NOMENCLATURA-ANTERIOR
010EDF0110,FIM DE TRECHO DUPLICADO (km. 8.0),9.0,1.0,PAV,CA,-,-,6.132,-
010EDF0130,INÍCIO DE TRECHO IMPLANTADO (km. 9.0),0.3,0,EOD,-,-,-,412,-
011EDF0010,ENTR. DF-003 (EPIA)/DF-085 (EPTG),ACESSO AO SETOR POLICIAL SUL,1.4,DUP,CA,-,-,57.182,-
011EDF0030,ACESSO AO SETOR POLICIAL SUL,ENTRADA DO PARQUE DA CIDADE- SUDOESTE,1.2,DUP,CA,-,-,42.172,-
011EDF0050,ENTRADA DO PARQUE DA CIDADE- SUDOESTE,ENTR. EIXO MONUMENTAL,3.3,DUP,CA,-,-,29.049,-
015EDF0010,ENTR. DF-005 (EPPR),ENTR. BR-479/ DF-001 (EPCT)/DF- 250,3.9,PAV,TSD,-,-,11.470,DF-6
025EDF0010,ENTR. DF-003 (EPIA),ENTR. DF-047 (EPAR),3.0,DUP,CA,-,-,49.416,-
025EDF0030,ENTR. DF-047 (EPAR),ACESSO À PONTE PRESIDENTE MEDICI,4.8,DUP,CA,-,-,19.269,-
025EDF0050,ACESSO À PONTE PRESIDENTE MEDICI,ACESSO À PONTE HONESTINO GUIMARÃES,3.2,DUP,CA,-,-,14.381,-
025EDF0070,ACESSO À PONTE HONESTINO GUIMARÃES,ENTR. DF-035 (EPCV),7.2,DUP,CA,-,-,34.012,-
025EDF0090,ENTR. DF-035 (EPCV),ENTR. DF-027 (EPJK),3.1,DUP,CA,-,-,18.898,-
025EDF0100,ENTR. DF-027 (EPJK),ENTR. DF-001(A) (EPCT),4.6,DUP,CA,-,-,17.040,-
025EDF0110,ENTR. DF-001(A) (EPCT),ENTR. DF-001(B) (EPCT) /BARRAGEM DO PARANOÁ,1.9,PAV,CA,001EDF0090,-,30.071,-
027EDF0010,ENTR. DF-025 (EPDB)/ ACESSO À PONTE JK,ENTR. DF-001 (EPCT),1.8,DUP,CA,-,-,38.934,-
035EDF0010,ENTR. DF-025 (EPDB),ENTR. DF-001 (EPCT),4.2,DUP,CA,-,-,19.283,-
047EDF0010,AEROPORTO INTERNACIONAL DE BRASÍLIA,ENTR. DF-025 (EPDB),0.8,DUP,CA,-,-,57.345,-
047EDF0030,ENTR. DF-025 (EPDB),ENTR. DF-051 (EPGU)/ DF-004 (EPNA),1.8,DUP,CA,-,-,38.284,-
047EDF0050,ENTR. DF-051 (EPGU)/ DF-004 (EPNA),ENTR. DF-002 (ERS) (TREVO DE TRIAGEM SUL),1.2,DUP,CA,-,-,120.000,-
051EDF0010,ENTR. DF-047 (EPAR),ENTR. DF-003 (EPIA),2.4,DUP,CA,-,-,63.336,-
051EDF0030,ENTR. DF-003 (EPIA),ACESSO AO GUARÁ II,1.5,DUP,CA,-,-,46.939,-
055EDF0010,ENTR. DF-003 (EPIA),VARGEM BONITA (km. 7.2),2,PAV,CA,-,-,7.842,-
065EDF0010,ENTR. DF-003 (EPIA),ENTR. BR-251/ DF-001 (EPCT)/DF- 480,4.0,DUP,CA,-,-,30.947,DF-16
075EDF0010,ENTR. DF-003 (EPIA),ACESSO AO NÚCLEO BANDEIRANTE,2.0,DUP,CA,-,-,83.961,BR-060
075EDF0030,ACESSO AO NÚCLEO BANDEIRANTE,ENTR. DF-079 (EPVP),1.9,DUP,CA,-,-,56.586,BR-060
075EDF0050,ENTR. DF-079 (EPVP),ENTR. BR-251/ DF-001 (EPCT),4.2,DUP,CA,-,-,63.588,BR-060
079EDF0010,ENTR. DF-085 (EPTG),ENTR. DF-081 (EPIB),2.3,DUP,CA,-,-,40.494,-
079EDF0030,ENTR. DF-081 (EPIB),ENTR. DF-075 (EPNB),5.9,DUP,CA,-,-,32.738,-
081EDF0010,ENTR. DF-003 (EPIA),ENTR. DF-079 (EPVP),6.5,PLA,-,-,-,-,-
085EDF0010,ENTR. DF-003 (EPIA),ENTR. DF-087 (EPVL),5.8,DUP,CA,-,-,111.601,-
085EDF0030,ENTR. DF-087 (EPVL),ENTR. DF-079 (EPVP),1.4,DUP,CA,-,-,124.335,-
085EDF0050,ENTR. DF-079 (EPVP),FIM DO TÚNEL DE TAGUATINGA,5.5,DUP,CA,-,-,97.669,-
087EDF0010,ENTR. DF-095 (EPCL),ENTR. DF-085 (EPTG),3.1,DUP,CA,-,-,32.945,-
095EDF0010,ENTR. DF-003 (EPIA),ENTR. DF-097 (EPAC),3.4,DUP,CC,-,-,61.820,-
095EDF0030,ENTR. DF-097 (EPAC),ENTR. DF-087 (EPVL),3.1,DUP,CC,-,-,75.319,-
095EDF0050,ENTR. DF-087 (EPVL),ENTR. BR- 070/251/ DF-001 (EPCT),6.1,DUP,CC,-,-,57.004,-
097EDF0010,ENTR. DF-095 (EPCL),DF-010 (EPAA),2.0,IMP,-,-,-,180,-
097EDF0030,DF-010 (EPAA),ENTR. BR-251/ DF-001 (EPCT),9.5,IMP,-,-,-,125,-
100EDF0010,ENTR. BR-020/BR-030,ENTR. DF-230,8.5,PAV,CA,-,-,2.364,DF-021
100EDF0030,ENTR. DF-230,ENTR. VC-141,0.5,PAV,CA,-,-,2.364,DF-021
100EDF0050,ENTR. VC-141,ENTR. VC-145,3.8,PAV,CA,-,-,2.404,DF-021
100EDF0070,ENTR. VC-145,ENTR. VC-143,0.2,PAV,CA,-,-,2.449,DF-021
100EDF0090,ENTR. VC-143,ENTR. BR-479/DF-250,3.5,PAV,CA,-,-,2.492,DF-021
100EDF0110,ENTR. BR-479/DF-250,ENTR. VC-169(A),5.3,IMP,-,-,-,311,DF-021
100EDF0130,ENTR. VC-169(A),ENTR. DF-105,0.2,IMP,-,-,-,311,DF-021
100EDF0150,ENTR. DF-105,ENTR. VC-169(B),2.0,IMP,-,-,-,374,DF-021
100EDF0170,ENTR. VC-169(B),ENTR. DF-310,4.1,IMP,-,-,-,374,DF-021
100EDF0190,ENTR. DF-310,ENTR. DF-260/DF-320,3.6,IMP,-,-,-,374,DF-021
100EDF0210,ENTR. DF-260/DF-320,ENTR. VC-421,4.2,IMP,-,-,-,407,DF-021
100EDF0230,ENTR. VC-421,ENTR. DF-270,3.4,IMP,-,-,-,407,DF-021
100EDF0250,ENTR. DF-270,ENTR. DF-285,10.5,IMP,-,-,-,407,DF-021
100EDF0270,ENTR. DF-285,ENTR. DF-295/ DIVISA DF/GO,3.0,IMP,-,-,-,282,DF-021
105EDF0010,ENTR. BR-020/030,FIM DO TRECHO IMPLANTADO (km. 5.9),5.9,IMP,-,-,-,220,FZ-35
