RODOVIA,SENTIDO,VALOR DO K
330EDF0030,ENTR. DF-444 até ENTR. BR-479/DF-250,1.0333333333333334
250EDF0010,ENTR. BR- 479(A)/ DF-001 (EPCT)/ DF-015 (EPTM) até ENTR. DF-456,1.0333333333333334
047EDF0050,ENTR. DF-051 (EPGU)/ DF-004 (EPNA) até ENTR. DF-002 (ERS) (TREVO DE TRIAGEM SUL),1.0266666666666666
010EDF0070,ENTR. DF-003 (EPIA) até INÍCIO DE TRECHO DUPLICADO (km. 6.8),1.015625
001EDF0590,ENTR. DF-170 até ENTR. BR-010/020/ 030/DF-003/DF-150 (PARQUE RODOVIÁRIO DO DER-DF),1.0036363636363637
003EDF0250,ENTR. DF-065 (EPIP) até ENTR. BR- 040/050/251/ DF-001 (EPCT),1.0
008EDF0030,ENTR. DF-005 (EPPR) até ENTR. DF-009 (EPPN),1.0
125EDF0100,CÓRREGO LAMARÃO até ENTR. BR-251(A),1.0
130EDF0230,ENTR. BR- 251(A) até ENTR. BR- 251(B),1.0
285EDF0010,ENTR. BR-251 até ENTR. VC-441,1.0
445EDF0030,ENTR. DF-435 até ENTR. DF-430(A),1.0
456EDF0010,ENTR. DF-001 (EPCT) até ENTR. BR-479/DF-250,1.0
410EDF0010,ENTR. BR-020/BR-030 até ENTR. VC-121,0.9981651376146788
011EDF0010,ENTR. DF-003 (EPIA)/DF-085 (EPTG) até ACESSO AO SETOR POLICIAL SUL,0.9948979591836735
004EDF0010,ENTR. DF-002 (ERN) PONTE DO BRAGHETTO até ENTR. VIA L2,0.9891304347826088
190EDF0010,ENTR. DF-180 até ENTR. VC-321,0.9875
047EDF0030,ENTR. DF-025 (EPDB) até ENTR. DF-051 (EPGU)/ DF-004 (EPNA),0.9866666666666667
003EDF0152,ENTR. DF-081 (EPIB) até ENTR. DF-051 (EPGU),0.9857142857142858
003EDF0190,ENTR. DF-075 (EPNB) até ENTR. DF-025 (EPDB),0.9782608695652173
027EDF0010,ENTR. DF-025 (EPDB)/ ACESSO À PONTE JK até ENTR. DF-001 (EPCT),0.9764150943396226
