no,lon,lat,nome,n_pontas
121,-47.55285397299989,-15.871240437503,ENTR. DF-120(B),3
122,-47.55809457833323,-15.8722439135029,ENTR. DF-120(A)/DF- 125,3
123,-47.5153180489999,-15.907148802502,ENTR. VC-427,2
124,-47.52010268066656,-15.924655240501501,ENTR. DF-270(A),3
125,-47.53727604066663,-15.928086942168067,ENTR. DF-270(B),3
126,-47.47757239566656,-16.0116001534991,ENTR. DF-120,3
127,-47.557592117,-15.8732052575029,ENTR. DF-120/DF-260,1
128,-47.5611956719999,-15.8903555555025,INICIO DE TRECHO PLANEJADO (km. 2.5),1
129,-47.5619846769999,-15.9001681655022,FIM DE TRECHO PLANEJADO (km. 3.5),1
130,-47.58350008466656,-15.937309461167766,ENTR. DF-125(A),3
131,-47.5547345029999,-15.9315750915013,ENTR. DF-270(B),3
132,-47.550319682,-15.9548108615007,CÓRREGO LAMARÃO,2
133,-47.57444314399995,-15.9903712809997,ENTR. BR-251(A),2
134,-47.5633516714999,-15.998884784999401,ENTR. BR-251(B),2
135,-47.5649948369999,-16.0051922054993,FIM DO TRECHO PAVIMENTADO (km. 21.3),2
136,-47.5729490269999,-16.049620569831333,ENTR. DF-125,3
137,-47.6174313739999,-15.5002525975134,DIVISA GO/DF,1
138,-47.6224954649999,-15.5282706885127,ENTR. DF-205,4
139,-47.67803086466657,-15.582306905844433,ENTR. DF-131,3
140,-47.675448307,-15.5980792935107,ENTR. BR- 010/020/030,2
141,-47.6725817849999,-15.62036075251,ACESSO A PLANALTINA/ 1º DISTRITO RODOVIÁRIO,2
142,-47.6855100789999,-15.64189649700945,ENTR. DF-230,4
143,-47.6934194439999,-15.657571631509,ACESSO AO INSTITUTO FEDERAL DE BRASÍLIA,2
144,-47.6928496639999,-15.6793195405084,ENTR. DF-444,2
145,-47.6800757629999,-15.6856356655082,PEDRA FUNDAMENTAL,1
146,-47.6502645399999,-15.6478359105093,ENTR. DF-130,3
147,-47.6443092189999,-15.6702740085086,ACESSO AO VALE DO AMANHECER,2
148,-47.660503062749946,-15.727419621257024,ENTR. BR-479/DF-250,4
149,-47.646397652999894,-15.781334296838834,ENTR. DF-455,3
150,-47.6401067619999,-15.7961698315051,ENTR. VC-411,2
151,-47.6328176529999,-15.8217292075044,ENTR. VC-413,2
152,-47.6267039529999,-15.843166992503802,ENTR. DF-355,3
153,-47.6210442299999,-15.863061208503202,ENTR. DF-260,3
154,-47.6142609059999,-15.8868088860025,ENTR. VC-401,2
155,-47.6103561199999,-15.9004882145022,ACESSO AO 4º DISTRITO RODOVIÁRIO,2
156,-47.60050013033324,-15.940407754834332,ENTR. DF-270,3
157,-47.6033966169999,-15.9438732605009,ENTR. BR-251(A),2
158,-47.5872694679999,-15.9697717995002,ENTR. BR-251(B),2
159,-47.6172637409999,-16.049619532498,ENTR. DF-295/ DIVISA DF/GO,2
160,-47.6887636719999,-15.5002082465134,DIVISA GO/DF,1
161,-47.6883890969999,-15.528626021012602,ENTR. DF-205,4
162,-47.68531531166659,-15.5655016375116,ENTR. DF-335,3
163,-47.7549883049999,-16.0331020484985,ENTR. VC-467,1
164,-47.7389983269999,-16.0519473804979,DIVISA DF/GO,1
165,-47.8274445029999,-15.9390603085011,ENTR. BR-251,2
166,-47.8090311539999,-15.9977999954994,ENTR. VC-467,2
167,-47.8146275119999,-16.050003843498,ENTR. DIVISA DF/GO,1
168,-47.860429086,-15.6876134285082,ENTR. BR-010/ 020/030/DF-001/003 (PARQUE RODOVIÁRIO DO DER-DF),1
169,-47.8512273689999,-15.6377710195096,ACESSO A SOBRADINHO II,2
170,-47.872992051666564,-15.592362524510799,ENTR. DF-205,3
171,-48.1677376609999,-15.7310056215069,ENTR. BR-080(B)/ BR-251(B) /DF-445,2
172,-48.1676926899999,-15.7388433965067,ENTR. VC-555,2
173,-48.1676476779999,-15.7466885015065,ENTR. VC-561,2
174,-48.17241829499995,-15.7964070350051,ENTR. BR-070(A),2
175,-48.196059267499905,-15.795771684505102,ENTR. BR-070(B),2
176,-48.2171598249999,-15.828921275170865,ENTR. DF-190,3
177,-48.168519623,-15.8628607595032,ENTR. VC-311,2
178,-48.14750734,-15.8991740285022,ACESSO A SAMAMBAIA,2
179,-48.1448878859999,-15.9079444855019,ENTR. BR-060,2
180,-48.1438724739999,-15.9195339735016,ENTR. VC-337(A),2
181,-48.133878438,-15.9558162375007,ENTR. VC-337(B),2
182,-48.1153129219999,-15.9918120244996,ENTR. VC-351,2
183,-48.12123163733323,-16.0083427194991,ENTR. DF-180,3
184,-48.2478686829999,-15.8665403555031,ENTR. VC-321,2
185,-48.24735454499997,-15.942445397500999,ENTR. DF-190(A),3
186,-47.9775562159999,-15.5002078595134,DIVISA GO/DF,1
187,-47.9732839069999,-15.514686957513,ENTR. VC-201(A),2
188,-47.9236456919999,-15.587786896511,INÍCIO DE TRECHO PAVIMENTADO (km. 11),2
