u,v,codigo,sentido,rodovia,situacao,pavimentada,extensao_km,tmd_der,v_limite,v_livre_tomtom,tomtom_compartilhado,faixas_estimadas,capacidade_estimada,tem_contagem,vol_7h,vc_7h,vol_18h,vc_18h,K_observado,t_livre_s
320,17,475EDF0050,crescente,DF-475,PAV,True,1.1,25577.0,60.0,54.0,True,1,1400,False,,,,,,73.33333333333334
17,320,475EDF0050,decrescente,DF-475,PAV,True,1.1,25577.0,60.0,54.0,True,1,1400,False,,,,,,73.33333333333334
321,322,480EDF0010,crescente,DF-480,DUP,True,1.9,38888.0,80.0,78.0,True,2,3600,True,2235.0,0.6208333333333333,1306.0,0.36277777777777775,,87.6923076923077
322,321,480EDF0010,decrescente,DF-480,DUP,True,1.9,38888.0,80.0,78.0,True,2,3600,True,1183.0,0.32861111111111113,1518.0,0.4216666666666667,,87.6923076923077
322,16,480EDF0030,crescente,DF-480,DUP,True,3.4,43414.0,80.0,72.0,False,2,3600,True,2330.0,0.6472222222222223,1505.0,0.41805555555555557,,170.0
16,322,480EDF0030,decrescente,DF-480,DUP,True,3.4,43414.0,80.0,72.0,False,2,3600,True,1728.0,0.48,2424.0,0.6733333333333333,,170.0
323,324,483EDF0010,crescente,DF-483,DUP,True,1.2,17168.0,70.0,60.0,False,2,3600,True,482.0,0.1338888888888889,767.0,0.21305555555555555,,72.0
324,323,483EDF0010,decrescente,DF-483,DUP,True,1.2,17168.0,70.0,60.0,False,2,3600,False,,,,,,72.0
324,325,483EDF0030,crescente,DF-483,DUP,True,3.2,16619.0,70.0,52.0,False,2,3600,True,830.0,0.23055555555555557,1739.0,0.48305555555555557,,221.53846153846155
325,324,483EDF0030,decrescente,DF-483,DUP,True,3.2,16619.0,70.0,52.0,False,2,3600,True,2206.0,0.6127777777777778,1705.0,0.4736111111111111,,221.53846153846155
326,327,495EDF0010,crescente,DF-495,PAV,True,2.9,1824.0,60.0,67.0,False,1,1400,False,,,,,,155.82089552238804
